a,b,c,class
40,85,128,1
57,124,193,1
174,175,133,2
181,179,138,2
35,34,8,2
193,206,252,1
175,173,125,2
85,98,136,1
47,49,13,2
120,157,219,1
28,30,8,2
200,195,162,2
171,171,125,2
30,32,3,2
150,194,248,1
198,198,158,2
21,22,6,2
67,65,47,2
105,143,201,1
186,185,141,2
78,34,255,2
205,204,170,2
151,175,235,1
58,99,148,1
150,165,108,2
2,0,0,2
102,142,201,1
123,153,224,1
10,10,4,2
16,13,8,2
199,199,159,2
156,154,100,2
255,255,255,2
151,192,255,1
75,51,31,2
199,210,254,1
195,194,156,2
138,141,85,2
255,255,255,2
151,154,105,2
84,86,34,2
54,56,20,2
158,162,127,2
177,180,135,2
57,111,171,1
184,181,136,2
56,56,20,2
0,0,150,2
120,119,61,2
109,110,54,2
155,157,111,2
136,139,90,2
36,43,40,2
25,23,236,2
115,114,56,2
137,139,87,2
52,113,177,1
52,52,12,2
199,197,163,2
170,166,118,2
73,75,33,2
68,88,46,2
255,0,128,2
48,34,166,2
134,131,186,1
173,161,133,2
13,12,14,2
85,87,35,2
129,132,87,2
171,170,120,2
119,152,215,1
200,198,163,2
0,3,0,2
190,188,148,2
178,176,128,2
197,194,163,2
104,125,153,1
179,177,129,2
167,166,115,2
90,92,56,2
177,175,145,2
193,194,155,2
51,106,151,1
42,41,13,2
166,165,121,2
59,127,200,1
120,157,219,1
11,10,6,2
173,168,129,2
46,67,112,1
187,185,145,2
172,171,121,2
87,85,31,2
173,187,240,1
52,52,12,2
172,165,115,2
26,35,22,2
187,185,144,2
170,168,120,2
190,189,145,2
113,111,57,2
95,93,39,2
51,52,12,2
114,149,222,1
155,182,226,1
185,184,140,2
83,255,240,2
56,58,16,2
177,176,126,2
181,180,136,2
5,3,3,2
135,171,219,1
178,175,131,2
64,65,21,2
164,163,113,2
29,31,11,2
84,87,31,2
156,158,116,2
178,175,130,2
109,149,207,1
4,4,4,2
65,65,65,2
181,176,145,2
134,162,233,1
68,126,191,1
120,77,86,2
18,25,18,2
138,140,88,2
130,132,90,2
114,147,220,1
144,167,135,2
78,79,70,2
81,84,34,2
46,93,144,1
201,199,164,2
141,139,85,2
163,162,112,2
124,165,228,1
162,170,117,2
139,139,85,2
57,122,97,2
31,147,47,2
179,174,125,2
202,200,165,2
158,176,229,1
157,173,220,1
135,134,76,2
185,183,135,2
44,94,154,1
92,27,18,2
102,155,228,1
205,205,205,2
117,116,58,2
179,176,132,2
79,81,35,2
170,184,237,1
74,71,26,2
180,178,130,2
167,173,120,2
242,160,148,2
157,159,113,2
162,163,119,2
201,200,162,2
0,186,0,2
41,98,150,1
173,95,172,2
201,200,162,2
62,119,180,1
64,64,28,2
15,16,0,2
196,195,161,2
118,153,217,1
181,162,127,2
61,62,22,2
86,27,35,2
166,164,116,2
98,141,214,1
6,6,0,2
2,1,3,2
130,132,90,2
158,161,116,2
92,69,245,2
52,53,27,2
57,59,23,2
131,160,227,1
46,54,17,2
2,1,3,2
126,129,79,2
55,82,216,2
49,100,162,1
30,72,61,2
31,47,30,2
151,189,254,1
150,188,252,1
132,135,90,2
4,1,3,2
81,87,130,1
0,0,1,2
68,69,25,2
198,198,158,2
15,6,186,2
133,137,88,2
189,187,147,2
143,142,86,2
189,187,147,2
169,184,230,1
181,180,136,2
143,142,91,2
139,165,231,1
248,250,250,2
165,164,114,2
199,197,162,2
172,175,130,2
15,32,19,2
94,93,35,2
86,77,50,2
51,90,135,1
199,197,163,2
130,173,230,1
104,160,231,1
5,6,4,2
158,162,126,2
55,87,136,1
175,173,125,2
165,163,115,2
168,197,254,1
34,37,5,2
32,101,255,2
1,5,0,2
39,40,38,2
163,161,127,2
12,12,12,2
23,21,10,2
62,117,174,1
67,112,169,1
102,151,225,1
154,194,253,1
84,35,13,2
182,179,135,2
201,199,164,2
7,5,0,2
176,177,138,2
200,198,163,2
174,174,134,2
103,106,161,1
229,127,152,2
53,53,53,2
175,173,125,2
32,33,7,2
174,185,235,1
86,137,223,1
170,168,120,2
43,44,12,2
173,168,119,2
16,20,9,2
171,170,119,2
178,178,132,2
163,162,112,2
12,12,6,2
153,155,109,2
81,83,37,2
199,197,162,2
55,111,170,1
104,153,223,1
157,161,126,2
55,24,233,2
61,57,213,2
178,178,132,2
60,105,156,1
247,126,107,2
182,179,135,2
169,148,147,2
77,76,180,2
201,199,164,2
163,162,112,2
19,65,42,2
84,90,127,1
87,89,43,2
81,89,129,1
192,191,153,2
200,198,163,2
69,70,26,2
53,54,20,2
1,186,0,2
158,162,127,2
39,33,28,2
144,143,92,2
177,174,129,2
151,152,102,2
15,13,12,2
193,191,156,2
83,84,34,2
66,68,22,2
107,72,86,2
181,174,125,2
17,165,201,2
56,61,22,2
158,162,127,2
176,174,126,2
202,200,165,2
177,189,243,1
133,130,75,2
16,12,1,2
183,181,133,2
115,150,223,1
154,181,232,1
106,140,199,1
158,162,127,2
183,180,136,2
172,171,121,2
255,0,128,2
95,147,224,1
178,178,132,2
58,58,58,2
66,58,205,2
84,84,30,2
143,165,230,1
188,186,145,2
60,56,62,2
179,176,131,2
90,137,219,1
56,55,41,2
92,20,32,2
90,89,39,2
60,100,152,1
184,185,143,2
185,183,143,2
178,178,132,2
56,56,56,2
76,77,27,2
11,10,6,2
69,71,25,2
230,235,238,2
55,55,15,2
199,197,162,2
15,14,0,2
40,40,26,2
138,139,89,2
55,115,181,1
176,171,172,2
140,140,86,2
33,34,8,2
97,152,221,1
157,166,255,2
201,213,253,1
179,193,192,2
144,164,21,2
152,155,110,2
77,130,117,2
9,6,8,2
126,126,126,2
158,156,115,2
55,60,31,2
181,178,134,2
57,103,151,1
99,152,225,1
64,66,24,2
172,171,121,2
16,13,0,2
155,158,113,2
186,185,141,2
164,164,116,2
201,200,210,2
141,181,234,1
137,174,218,1
185,185,145,2
183,179,138,2
181,182,140,2
170,166,118,2
121,120,100,2
149,151,99,2
178,175,130,2
204,202,168,2
103,139,209,1
5,3,9,2
179,173,130,2
185,181,132,2
11,8,3,2
167,165,124,2
13,12,2,2
80,89,127,1
5,9,4,2
158,195,255,1
162,160,112,2
53,56,24,2
122,133,141,2
46,49,47,2
20,19,0,2
46,47,13,2
58,58,22,2
194,193,155,2
41,42,8,2
81,84,29,2
177,176,126,2
130,162,228,1
125,134,94,2
4,5,0,2
143,162,21,2
180,177,132,2
157,159,113,2
115,118,116,2
79,82,33,2
176,174,126,2
92,67,247,2
112,111,55,2
174,172,124,2
132,131,247,2
68,68,68,2
155,194,233,1
55,56,22,2
74,75,31,2
165,164,114,2
81,36,253,2
131,163,229,1
198,196,161,2
59,113,176,1
132,138,85,2
194,205,255,1
165,164,114,2
3,1,1,2
164,163,113,2
3,3,0,2
62,98,146,1
201,196,163,2
112,113,81,2
168,164,116,2
117,154,222,1
29,49,30,2
66,69,53,2
54,115,183,1
68,72,31,2
194,194,154,2
52,70,123,1
179,178,134,2
49,18,223,2
23,20,15,2
196,195,157,2
160,160,112,2
55,59,24,2
111,111,57,2
15,14,0,2
156,182,228,1
129,168,220,1
146,150,201,2
126,126,126,2
149,187,251,1
59,110,173,1
162,160,112,2
59,114,175,1
54,54,40,2
203,211,251,1
139,181,240,1
58,57,37,2
134,137,242,2
98,145,226,1
200,198,163,2
11,11,0,2
65,67,25,2
183,185,139,2
173,173,127,2
102,144,219,1
164,162,114,2
171,171,125,2
55,102,156,1
128,130,255,2
17,13,2,2
175,191,237,1
235,130,117,2
150,152,100,2
83,180,236,2
69,71,25,2
164,163,113,2
164,166,130,2
165,162,117,2
145,185,234,1
177,175,127,2
13,11,3,2
141,144,95,2
238,120,73,2
66,67,23,2
70,71,29,2
169,168,118,2
46,62,121,1
53,55,25,2
110,55,70,2
37,37,7,2
131,162,231,1
28,21,226,2
144,184,249,1
231,238,241,2
73,84,122,1
70,73,28,2
157,161,126,2
138,167,224,1
56,53,39,2
227,157,90,2
110,153,210,1
195,194,156,2
166,183,232,1
6,4,3,2
55,18,228,2
76,73,45,2
54,55,21,2
49,109,98,2
136,170,236,1
57,59,23,2
194,194,154,2
184,186,144,2
0,128,0,2
173,173,127,2
199,197,162,2
183,182,138,2
148,146,92,2
21,41,29,2
183,181,133,2
112,96,113,2
155,200,255,1
62,65,26,2
163,162,112,2
169,167,109,2
104,155,225,1
66,67,23,2
128,161,210,1
178,175,130,2
185,185,139,2
107,153,224,1
184,183,139,2
76,79,30,2
168,167,116,2
246,235,231,2
180,179,135,2
183,180,135,2
255,255,128,2
178,178,132,2
132,75,73,2
46,21,141,2
187,185,145,2
178,176,128,2
138,139,89,2
172,171,121,2
81,51,200,2
62,89,139,1
134,132,78,2
164,164,118,2
152,190,254,1
49,49,37,2
178,179,135,2
103,155,225,1
146,148,96,2
53,72,129,1
9,9,3,2
198,198,158,2
37,37,7,2
163,160,109,2
54,55,21,2
174,173,122,2
143,176,222,1
128,168,220,1
180,177,132,2
126,154,208,1
68,69,25,2
171,170,120,2
39,40,6,2
155,159,118,2
174,172,124,2
55,56,22,2
199,197,163,2
164,164,134,2
138,140,88,2
44,29,221,2
172,171,121,2
126,131,129,2
141,140,84,2
188,189,199,2
63,106,155,1
75,53,209,2
76,136,202,1
199,197,162,2
127,158,227,1
60,122,192,1
17,8,189,2
183,170,138,2
199,197,163,2
107,126,164,1
194,193,155,2
247,238,234,2
114,144,215,1
195,194,156,2
64,120,175,1
114,150,210,1
38,39,5,2
145,182,226,1
103,146,195,1
153,191,255,1
204,202,168,2
101,136,199,1
199,197,162,2
196,194,159,2
149,167,230,1
179,179,133,2
67,71,30,2
95,144,220,1
1,2,0,2
67,68,26,2
3,135,105,2
199,197,162,2
180,175,130,2
174,185,235,1
160,164,129,2
152,176,236,1
177,174,129,2
154,158,117,2
178,176,128,2
163,167,126,2
66,61,16,2
146,188,253,1
120,123,178,1
57,127,255,2
54,94,143,1
197,208,252,1
53,57,21,2
206,204,170,2
107,106,55,2
37,35,11,2
178,176,145,2
101,105,158,1
176,172,131,2
27,92,71,2
19,16,1,2
52,52,16,2
44,48,13,2
190,174,162,2
115,153,211,1
239,237,243,2
182,179,135,2
181,178,134,2
91,87,69,2
193,191,150,2
90,88,34,2
35,36,20,2
159,156,171,2
51,53,17,2
183,180,135,2
192,191,153,2
60,118,177,1
2,1,0,2
147,146,132,2
164,163,113,2
144,186,251,1
173,198,242,1
200,198,163,2
25,22,7,2
175,172,127,2
200,198,163,2
149,184,247,1
149,191,255,1
99,132,201,1
159,160,120,2
20,17,2,2
148,187,249,1
171,169,121,2
12,13,4,2
170,173,181,2
40,39,179,2
177,174,129,2
239,222,225,2
217,175,216,2
13,7,186,2
106,118,172,1
28,40,28,2
111,148,204,1
16,15,11,2
175,145,98,2
87,65,244,2
197,196,162,2
168,182,235,1
182,179,134,2
193,192,148,2
107,150,207,1
149,185,255,1
38,37,9,2
181,178,133,2
95,139,222,1
79,35,250,2
172,169,124,2
62,63,23,2
150,149,98,2
57,60,21,2
21,15,8,2
112,98,109,2
198,196,162,2
62,63,29,2
0,0,0,2
0,0,1,2
2,3,0,2
129,129,129,2
232,227,228,2
234,220,214,2
55,56,22,2
145,142,87,2
199,172,151,2
129,159,216,1
119,118,60,2
182,179,135,2
201,200,162,2
182,173,129,2
66,66,26,2
36,37,11,2
137,173,221,1
146,72,124,2
165,161,112,2
99,130,191,1
105,109,50,2
171,170,119,2
91,135,218,1
190,189,145,2
56,57,17,2
178,175,154,2
99,135,189,1
181,178,133,2
121,155,225,1
67,117,177,1
187,187,141,2
32,35,10,2
122,159,215,1
102,77,245,2
151,154,105,2
162,161,111,2
179,177,129,2
148,151,102,2
157,161,126,2
132,171,223,1
52,94,141,1
198,196,161,2
197,195,160,2
9,7,6,2
200,198,163,2
150,151,109,2
201,199,159,2
171,170,120,2
41,39,4,2
144,146,94,2
206,215,255,1
143,182,250,1
26,72,59,2
199,197,162,2
188,188,140,2
196,195,157,2
0,0,193,2
97,157,227,1
174,173,123,2
177,174,130,2
152,170,235,1
180,178,130,2
1,2,0,2
156,160,125,2
157,176,221,1
163,161,113,2
161,159,105,2
122,153,222,1
156,156,120,2
141,181,230,1
8,6,5,2
55,74,131,1
173,174,130,2
84,86,40,2
235,193,158,2
175,172,127,2
107,173,138,2
151,154,105,2
221,224,222,2
1,2,0,2
100,98,44,2
69,70,26,2
62,56,57,2
71,74,29,2
173,170,125,2
177,174,130,2
178,102,183,2
143,146,201,1
50,52,22,2
163,162,112,2
180,178,137,2
199,210,254,1
144,146,94,2
110,116,169,1
69,70,26,2
92,195,190,2
196,192,157,2
142,140,86,2
159,157,103,2
55,60,21,2
149,152,103,2
149,94,217,2
141,140,90,2
150,186,255,1
193,191,157,2
0,2,177,2
139,138,87,2
21,76,61,2
99,104,65,2
181,178,133,2
53,55,13,2
142,141,83,2
223,152,84,2
111,154,211,1
124,134,255,2
255,128,0,2
183,179,138,2
190,188,157,2
0,136,255,2
55,111,170,1
29,35,16,2
57,110,227,2
99,99,45,2
172,186,238,1
163,163,115,2
188,186,146,2
54,55,21,2
28,28,4,2
185,180,141,2
119,150,213,1
199,197,162,2
112,16,100,2
255,255,255,2
101,138,206,1
156,157,113,2
127,133,84,2
180,177,132,2
118,81,19,2
147,96,217,2
195,194,156,2
102,131,188,1
57,61,26,2
174,172,124,2
171,176,131,2
156,160,119,2
124,143,164,1
165,161,112,2
139,142,93,2
156,87,72,2
66,67,23,2
177,178,136,2
55,56,22,2
159,178,223,1
172,186,238,1
84,85,29,2
141,143,131,2
241,205,169,2
101,148,202,1
178,176,128,2
57,111,166,1
101,178,104,2
148,156,216,1
62,127,125,2
53,57,22,2
196,194,159,2
74,86,126,1
180,179,135,2
149,191,255,1
228,207,209,2
48,46,236,2
165,165,117,2
177,176,126,2
78,84,125,1
44,90,137,1
129,132,187,1
208,177,198,2
160,176,223,1
103,107,160,1
136,139,90,2
151,150,99,2
180,177,133,2
36,39,7,2
196,195,174,2
131,162,231,1
170,169,119,2
141,144,95,2
59,106,157,1
125,161,225,1
68,70,24,2
99,137,195,1
76,80,39,2
95,145,221,1
172,186,239,1
55,118,186,1
127,157,212,1
255,128,0,2
114,140,200,1
84,52,211,2
180,175,126,2
165,165,117,2
101,102,46,2
184,182,141,2
136,139,90,2
192,218,255,1
50,49,28,2
144,163,24,2
36,90,143,1
58,58,22,2
152,153,103,2
52,99,150,1
153,156,117,2
157,160,128,2
140,176,224,1
53,54,20,2
13,14,4,2
172,170,122,2
122,157,223,1
164,163,113,2
103,106,60,2
88,86,32,2
163,163,115,2
101,102,46,2
147,187,252,1
41,89,141,1
161,79,161,2
62,79,130,1
136,139,93,2
200,198,163,2
104,207,202,2
182,179,134,2
131,80,94,2
174,175,133,2
192,191,153,2
193,138,185,2
184,181,137,2
143,140,195,1
189,191,172,2
2,1,3,2
29,30,20,2
163,164,114,2
167,183,230,1
15,17,11,2
112,111,53,2
127,159,100,2
132,162,227,1
61,128,197,1
126,170,229,1
51,44,235,2
50,49,15,2
182,179,134,2
44,93,149,1
32,31,11,2
47,71,69,2
52,94,141,1
150,191,253,1
174,170,129,2
176,175,124,2
205,203,172,2
14,15,6,2
159,163,128,2
179,176,132,2
104,153,221,1
94,30,19,2
205,150,205,2
173,172,122,2
100,99,108,2
48,70,122,1
153,99,220,2
91,136,204,1
109,95,96,2
57,110,173,1
165,161,112,2
154,156,110,2
194,193,155,2
157,159,117,2
158,162,120,2
166,167,117,2
255,255,255,2
31,29,5,2
61,122,188,1
203,214,252,1
145,144,88,2
183,181,133,2
54,57,25,2
199,197,162,2
114,113,55,2
108,229,248,2
87,63,235,2
138,73,95,2
171,170,120,2
53,54,20,2
247,118,85,2
161,165,123,2
183,180,136,2
51,103,163,1
15,13,2,2
64,52,50,2
134,137,92,2
172,172,124,2
181,178,134,2
0,255,255,2
56,103,157,1
188,187,153,2
180,180,134,2
131,157,224,1
177,175,140,2
148,150,98,2
200,199,161,2
55,56,36,2
145,184,252,1
170,169,119,2
79,87,127,1
54,55,21,2
139,139,85,2
178,179,135,2
95,30,16,2
169,183,235,1
170,170,116,2
165,161,112,2
172,172,126,2
140,140,86,2
53,54,20,2
67,69,23,2
157,154,103,2
196,194,159,2
135,135,189,1
155,161,126,2
177,178,134,2
156,159,114,2
123,126,181,1
200,199,161,2
38,67,118,1
91,144,217,1
127,122,83,2
29,31,2,2
126,164,228,1
165,163,115,2
58,85,219,2
57,59,23,2
164,162,114,2
177,175,134,2
180,178,137,2
32,33,7,2
138,175,225,1
93,112,173,1
169,169,123,2
130,136,243,2
173,189,232,1
142,177,217,1
150,152,100,2
158,159,117,2
177,174,129,2
85,154,117,2
159,162,123,2
14,8,1,2
68,69,25,2
55,56,22,2
57,94,154,1
102,102,48,2
88,86,32,2
0,255,255,2
180,179,135,2
162,164,112,2
119,87,81,2
165,165,117,2
227,217,229,2
6,17,155,2
45,49,14,2
172,170,122,2
156,157,107,2
24,24,8,2
115,114,56,2
124,168,222,1
130,131,92,2
167,163,114,2
178,176,128,2
192,191,153,2
30,22,123,2
199,197,163,2
47,104,155,1
179,177,129,2
2,4,4,2
70,159,89,2
132,176,240,1
166,166,118,2
46,39,176,2
33,34,8,2
38,66,53,2
176,174,126,2
187,198,242,1
201,124,67,2
12,19,12,2
200,198,163,2
51,52,8,2
54,81,215,2
204,202,168,2
181,181,135,2
55,56,14,2
179,177,129,2
102,95,156,2
171,171,125,2
103,96,103,2
150,152,100,2
62,108,166,1
124,145,172,1
209,221,255,1
169,167,119,2
197,195,160,2
97,74,58,2
169,169,121,2
57,84,218,2
176,174,126,2
0,0,0,2
145,143,89,2
56,103,147,1
85,88,102,2
168,181,233,1
70,72,43,2
7,185,0,2
253,255,254,2
11,13,1,2
78,79,29,2
63,64,20,2
180,180,134,2
35,36,20,2
124,100,82,2
0,130,253,2
201,200,162,2
157,161,126,2
201,199,164,2
160,157,106,2
154,159,120,2
92,95,40,2
50,96,143,1
151,74,148,2
140,143,94,2
55,56,22,2
142,179,231,1
2,0,0,2
164,163,113,2
188,186,146,2
174,169,136,2
113,152,214,1
118,117,59,2
185,180,135,2
164,162,114,2
127,159,212,1
73,86,124,1
182,179,135,2
55,60,21,2
69,72,26,2
85,86,36,2
178,178,132,2
169,163,122,2
202,201,163,2
164,163,113,2
167,163,115,2
193,192,154,2
188,186,146,2
185,183,143,2
129,157,218,1
146,144,90,2
183,183,137,2
106,135,174,1
195,194,156,2
187,181,138,2
160,177,234,1
67,69,23,2
151,189,253,1
173,172,122,2
6,170,252,2
44,44,44,2
15,14,4,2
159,195,119,2
69,27,28,2
101,126,182,1
179,175,134,2
134,175,224,1
13,14,4,2
52,72,127,1
92,33,18,2
175,144,99,2
164,180,223,1
44,86,69,2
179,177,129,2
173,173,133,2
137,174,226,1
180,176,128,2
135,175,224,1
49,25,7,2
184,184,136,2
195,193,152,2
2,1,0,2
139,139,85,2
205,204,170,2
255,128,0,2
191,188,143,2
16,15,1,2
152,191,253,1
163,162,112,2
46,53,26,2
179,177,129,2
172,190,231,1
179,178,134,2
240,246,251,2
29,27,16,2
180,178,130,2
167,166,115,2
157,160,121,2
178,175,131,2
64,65,21,2
164,168,133,2
179,178,140,2
113,160,228,1
182,181,137,2
53,114,180,1
178,176,128,2
198,198,158,2
114,152,210,1
94,69,251,2
107,228,248,2
102,151,225,1
105,149,220,1
34,33,7,2
113,221,245,2
175,176,132,2
66,68,26,2
180,178,137,2
135,137,101,2
202,201,163,2
201,199,164,2
97,146,222,1
35,111,255,2
178,176,128,2
163,163,109,2
255,0,255,2
104,107,61,2
160,164,122,2
178,176,128,2
2,137,105,2
137,139,93,2
16,14,14,2
255,255,255,2
133,135,83,2
127,129,87,2
128,129,87,2
79,82,33,2
8,29,14,2
129,132,87,2
13,255,255,2
169,168,124,2
182,182,136,2
119,118,60,2
179,179,133,2
177,176,132,2
155,168,246,2
174,173,123,2
182,169,117,2
186,184,143,2
109,148,210,1
10,10,0,2
60,100,149,1
178,192,244,1
33,33,27,2
114,150,204,1
180,179,135,2
177,175,127,2
63,68,23,2
36,37,0,2
194,193,155,2
195,194,156,2
195,197,151,2
33,34,8,2
90,94,45,2
190,188,148,2
97,147,223,1
149,147,93,2
180,177,132,2
0,23,151,2
52,53,19,2
157,156,100,2
199,210,255,1
149,149,101,2
183,182,138,2
165,164,114,2
63,68,23,2
169,169,129,2
200,210,250,1
46,42,18,2
34,33,7,2
152,152,98,2
140,173,222,1
64,124,184,1
185,184,150,2
37,111,81,2
77,80,35,2
176,174,126,2
120,121,71,2
34,33,12,2
73,72,38,2
192,195,200,2
89,135,213,1
176,176,130,2
11,12,2,2
146,141,196,1
205,214,252,1
139,137,126,2
226,156,86,2
198,198,158,2
7,5,5,2
150,162,120,2
132,138,85,2
43,68,132,1
24,38,27,2
166,180,232,1
172,170,122,2
175,172,127,2
190,188,140,2
146,147,97,2
33,33,17,2
6,159,188,2
11,13,14,2
201,200,162,2
52,56,20,2
149,152,106,2
198,194,159,2
138,139,89,2
55,98,149,1
57,59,23,2
180,180,132,2
174,174,128,2
128,130,94,2
141,79,103,2
175,172,127,2
200,199,161,2
125,99,83,2
4,252,255,2
14,15,13,2
178,175,131,2
15,53,23,2
181,178,134,2
22,255,255,2
87,88,38,2
182,178,137,2
154,156,114,2
57,22,233,2
107,152,226,1
243,174,164,2
5,3,2,2
199,198,160,2
172,168,120,2
103,151,223,1
169,184,230,1
5,5,0,2
169,182,238,1
137,139,87,2
155,158,109,2
49,49,37,2
50,104,165,1
67,71,30,2
175,143,102,2
196,195,157,2
162,162,114,2
51,90,134,1
34,20,152,2
182,178,137,2
169,170,128,2
138,141,92,2
166,168,116,2
190,188,148,2
124,127,182,1
57,61,20,2
165,164,114,2
81,84,52,2
155,158,119,2
109,153,207,1
127,162,226,1
87,187,241,2
173,172,122,2
134,134,80,2
63,64,20,2
82,52,211,2
118,57,37,2
35,34,8,2
106,143,201,1
161,159,105,2
181,178,134,2
138,139,89,2
128,133,88,2
186,186,146,2
56,99,148,1
247,249,249,2
178,175,131,2
103,104,48,2
198,196,161,2
187,188,149,2
172,168,119,2
173,177,141,2
174,174,128,2
60,108,172,1
55,102,158,1
16,14,3,2
77,87,127,1
79,80,30,2
121,86,83,2
150,188,252,1
164,163,113,2
108,144,208,1
180,177,132,2
150,188,252,1
28,251,235,2
139,142,93,2
95,144,218,1
181,178,133,2
114,116,170,1
111,150,229,1
15,14,4,2
182,179,134,2
76,50,204,2
248,250,250,2
97,121,173,1
60,118,183,1
11,10,6,2
52,52,52,2
162,176,225,1
5,192,0,2
3,1,1,2
137,19,138,2
255,255,255,2
174,173,123,2
157,161,125,2
128,130,88,2
200,199,161,2
187,182,137,2
178,175,131,2
149,123,106,2
40,39,11,2
172,170,122,2
61,122,188,1
50,106,153,1
99,146,220,1
165,165,117,2
179,180,138,2
103,102,46,2
14,10,0,2
116,153,215,1
52,55,23,2
158,195,255,1
124,153,107,2
183,180,135,2
177,171,128,2
54,55,21,2
48,88,137,1
181,180,130,2
11,166,192,2
202,201,163,2
103,153,119,2
159,196,254,1
87,191,226,2
189,189,149,2
143,186,237,1
134,142,89,2
180,177,132,2
64,28,248,2
180,174,129,2
71,70,74,2
167,163,114,2
140,139,88,2
182,176,131,2
140,96,187,2
63,69,28,2
201,199,164,2
206,216,255,1
101,138,190,1
159,163,122,2
75,78,29,2
52,90,144,1
187,186,142,2
53,57,21,2
166,162,114,2
197,195,161,2
182,181,131,2
199,197,162,2
0,2,179,2
139,162,230,1
19,17,0,2
205,204,170,2
124,128,86,2
37,60,38,2
123,163,222,1
232,215,206,2
150,186,250,1
3,0,180,2
141,144,89,2
54,54,54,2
175,173,125,2
3,2,0,2
3,2,6,2
146,145,85,2
111,228,249,2
18,255,255,2
52,53,9,2
232,215,206,2
143,142,91,2
201,200,162,2
125,128,89,2
90,85,46,2
165,163,115,2
124,167,210,1
186,187,145,2
174,177,115,2
202,200,165,2
35,34,8,2
182,179,134,2
111,142,203,1
109,114,59,2
97,103,44,2
75,78,29,2
141,170,231,1
141,140,102,2
65,68,52,2
53,57,22,2
55,54,26,2
61,62,22,2
186,186,146,2
199,198,160,2
202,201,163,2
61,120,182,1
61,64,15,2
68,69,25,2
73,74,34,2
164,163,113,2
164,163,113,2
180,178,130,2
181,181,133,2
178,175,131,2
149,186,254,1
52,56,20,2
180,168,132,2
181,179,131,2
129,163,216,1
112,115,170,1
172,168,120,2
218,202,195,2
55,56,22,2
111,148,206,1
173,172,122,2
186,162,150,2
129,136,101,2
165,164,114,2
185,183,135,2
2,167,253,2
239,244,243,2
24,25,5,2
139,140,106,2
175,173,125,2
179,180,138,2
183,182,138,2
80,79,28,2
88,32,21,2
70,73,24,2
197,209,255,1
168,171,116,2
89,124,192,1
165,181,234,1
163,164,114,2
176,178,132,2
81,84,28,2
141,140,89,2
12,15,0,2
180,176,127,2
164,189,151,2
26,25,5,2
168,168,120,2
165,165,117,2
92,28,17,2
166,169,123,2
175,174,130,2
171,172,138,2
137,140,91,2
178,176,128,2
151,150,99,2
200,198,163,2
27,28,26,2
133,160,227,1
148,150,98,2
121,121,67,2
68,70,28,2
149,94,217,2
142,145,96,2
189,187,147,2
151,184,223,1
224,68,45,2
172,172,126,2
151,150,94,2
222,222,216,2
165,164,114,2
179,177,129,2
70,71,51,2
113,137,191,1
182,179,134,2
201,199,159,2
81,90,128,1
122,157,225,1
199,197,162,2
201,200,162,2
80,76,35,2
43,64,116,1
182,180,132,2
162,160,112,2
97,127,192,1
120,161,210,1
173,173,127,2
117,116,58,2
182,179,135,2
0,0,255,2
116,218,213,2
151,166,229,1
199,197,163,2
173,187,240,1
169,152,143,2
176,171,126,2
111,217,241,2
53,54,20,2
181,182,140,2
187,188,146,2
140,139,81,2
166,182,235,1
198,197,159,2
163,163,115,2
5,3,2,2
96,117,168,1
69,70,26,2
171,170,120,2
179,176,131,2
162,160,142,2
240,233,230,2
132,135,89,2
227,156,89,2
111,141,200,1
138,144,113,2
35,34,8,2
90,3,6,2
50,51,31,2
168,157,119,2
188,177,255,2
21,21,5,2
166,184,231,1
80,52,211,2
63,64,22,2
176,182,135,2
50,52,16,2
197,197,157,2
129,129,129,2
162,161,110,2
10,7,2,2
20,17,2,2
180,178,130,2
173,173,127,2
115,150,223,1
111,113,107,2
181,178,134,2
59,102,255,2
4,5,3,2
49,50,11,2
132,153,255,2
149,148,92,2
194,192,144,2
42,96,149,1
50,50,14,2
137,173,227,1
62,62,22,2
143,146,97,2
113,151,215,1
74,90,127,1
145,166,227,1
42,43,41,2
35,37,7,2
179,176,131,2
90,101,153,1
54,55,21,2
0,0,187,2
179,177,129,2
131,127,102,2
131,175,229,1
19,17,0,2
150,184,123,2
132,171,226,1
103,143,208,1
177,175,127,2
181,179,131,2
41,42,10,2
202,200,165,2
250,215,211,2
2,136,106,2
156,159,110,2
53,55,19,2
62,106,159,1
162,164,128,2
182,176,131,2
47,67,125,1
195,193,152,2
100,95,156,2
183,179,138,2
183,180,135,2
202,205,210,2
130,164,218,1
21,19,1,2
83,91,131,1
85,34,14,2
109,147,205,1
179,177,123,2
135,137,95,2
163,161,113,2
231,237,242,2
182,174,134,2
51,53,17,2
149,151,105,2
186,183,138,2
133,163,228,1
201,200,162,2
67,69,27,2
133,163,228,1
44,68,122,1
240,225,222,2
60,123,191,1
168,168,120,2
52,52,16,2
124,156,222,1
157,160,128,2
171,169,121,2
197,197,157,2
57,61,19,2
132,133,101,2
193,191,160,2
202,199,171,2
154,160,119,2
148,145,90,2
0,1,0,2
24,52,29,2
171,170,120,2
4,0,189,2
59,56,28,2
169,168,117,2
114,153,215,1
171,185,238,1
181,178,134,2
0,0,255,2
10,7,0,2
53,57,21,2
163,162,111,2
148,186,240,1
47,100,157,1
49,38,24,2
127,130,80,2
98,97,39,2
171,169,121,2
