loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,class
20000,20000,20000,60 months,24.99,586.91,E,E4,Sales,10+ years,RENT,80000,Verified,Current,833xx,ID,10.68,0,0,26,60,12,2,8001,29.4,16,w,16566.27,16566.27,9921.94,9921.94,3433.73,6488.21,586.91,0,0,0,18357,4,1,2,3,10356,100,5,9,4147,49,27200,0,0,2,debt_consolidation
15000,15000,15000,60 months,14.49,352.85,C,C4,Dispatch,5 years,MORTGAGE,72000,Source Verified,Fully Paid,936xx,CA,12.07,0,0,,55,8,2,5035,69.9,12,w,0,0,15210.7,15210.7,15000,210.7,15234.85,0,0,52,18711,0,0,1,24,13328,58,1,2,944,62,7200,0,2,1,debt_consolidation
13000,13000,13000,36 months,8.99,413.34,B,B1,Sales,10+ years,MORTGAGE,60000,Source Verified,Current,015xx,MA,10.2,0,0,43,,9,0,8493,38.3,13,w,7650.61,7650.61,6606.95,6606.95,5349.39,1257.56,413.34,0,0,0,198563,0,0,0,52,2349,18,2,3,3775,31,22200,0,1,1,credit_card
2000,2000,2000,36 months,11.44,65.9,B,B4,CT Technologist,3 years,MORTGAGE,52000,Verified,Late (31-120 days),488xx,MI,28.46,0,1,31,,22,0,18926,78.2,55,w,1712.22,1712.22,392.86,392.86,287.78,105.08,65.9,0,0,0,209108,1,0,2,18,110873,110,2,4,10316,104,24200,0,5,2,medical
15000,15000,15000,36 months,14.99,519.91,C,C4,manager,10+ years,RENT,35000,Not Verified,Current,488xx,MI,23.87,0,1,,49,8,1,9535,43.7,13,w,10723.68,10723.68,6226.43,6226.43,4276.32,1950.11,519.91,0,0,112,21746,0,1,1,7,12211,82,1,1,5037,59,21800,1,0,4,debt_consolidation
14000,14000,14000,60 months,13.59,322.79,C,C2,Senior financial marketing analyst,4 years,OWN,60000,Source Verified,Current,910xx,CA,16.4,0,0,32,,11,0,7830,34.6,17,w,13501.68,13501.68,941.95,941.95,498.32,443.63,322.79,0,0,0,33954,0,0,3,16,26124,77,1,2,4783,60,22600,1,0,1,credit_card
2250,2250,2250,36 months,22.39,86.39,E,E1,Teacher,10+ years,OWN,50000,Verified,Current,789xx,TX,12.48,0,0,41,,3,0,0,,7,f,1546.95,1546.95,1206.66,1206.66,703.05,503.61,86.39,0,0,0,107873,0,1,1,9,12267,61,0,0,0,61,0,0,0,0,other
17500,17500,17475,60 months,27.34,537.94,G,G1,,,RENT,35000,Verified,Fully Paid,532xx,WI,6.72,0,3,44,73,8,1,26,0.1,58,f,0,0,19714.73,19686.57,17500,2214.73,17589.55,0,0,0,10881,6,4,7,2,10855,100,5,5,26,38,17600,8,1,7,debt_consolidation
4850,4850,4850,36 months,13.99,165.74,C,C3,Tire builder,6 years,OWN,55000,Verified,Fully Paid,363xx,AL,28.56,0,3,,97,18,1,0,0,37,w,0,0,5010.225342,5010.23,4850,160.23,4848.26,0,0,302,73992,4,2,4,2,73992,,4,9,0,0,34700,5,7,8,other
5000,5000,5000,36 months,11.49,164.86,B,B5,House Staff Manager,5 years,RENT,80000,Verified,Late (31-120 days),072xx,NJ,12.51,0,1,24,,31,0,8500,42.5,41,w,3651.01,3651.01,1822.08,1822.08,1348.99,458.09,164.86,0,0,0,129995,2,1,1,3,121495,125,3,5,4985,111,20000,3,0,7,debt_consolidation
12000,12000,12000,36 months,13.49,407.17,C,C2,Hygienist,10+ years,MORTGAGE,110000,Not Verified,Current,330xx,FL,9.68,0,1,,96,15,1,10253,51,24,w,6930.8,6930.8,6912.9,6912.9,5069.2,1843.7,407.17,0,0,0,415648,0,0,2,19,27735,81,5,7,2399,70,20100,1,1,4,debt_consolidation
30000,30000,30000,60 months,25.49,889.18,E,E4,Foreman,5 years,MORTGAGE,60000,Verified,Late (31-120 days),461xx,IN,29.14,0,0,75,,16,0,35713,59.3,22,f,28120.84,28120.84,6139.29,6139.29,1879.16,4260.13,889.18,0,0,0,141013,0,0,0,44,5240,34,0,6,5903,54,60200,4,5,3,debt_consolidation
23000,23000,23000,60 months,15.05,547.78,C,C4,heavy equiment mechanic,< 1 year,MORTGAGE,56000,Not Verified,In Grace Period,925xx,CA,10.65,0,0,49,,7,0,2619,43.6,24,w,21671.58,21671.58,2719.67,2719.67,1328.42,1391.25,547.78,0,0,0,252923,0,0,0,39,15549,79,1,2,1905,70,6000,1,1,1,credit_card
8000,8000,8000,36 months,9.93,257.88,B,B2,Warehouse supervisor,< 1 year,RENT,36000,Verified,Current,928xx,CA,24.27,0,1,,,6,0,4794,33.8,12,w,7223.71,7223.71,994.01,994.01,776.29,217.72,257.88,0,0,0,42513,0,2,4,8,37719,92,1,3,3349,77,14200,1,2,7,debt_consolidation
3500,3500,3500,36 months,5.32,105.41,A,A1,Engineering Reviewer,1 year,RENT,58000,Source Verified,Current,273xx,NC,20.15,0,1,,,22,0,3795,11,25,w,2676.46,2676.46,946.62,946.62,823.54,123.08,105.41,0,0,0,49236,1,1,1,12,45441,104,1,3,2420,11,33300,0,0,1,credit_card
8000,8000,8000,36 months,14.99,277.29,C,C4,Financial Analyst,2 years,RENT,74000,Verified,Current,972xx,OR,4.12,1,0,6,,6,0,6785,32.3,9,f,6520.23,6520.23,2191.68,2191.68,1479.77,711.91,277.29,0,0,0,9262,0,0,0,63,2477,60,1,3,3094,37,21000,0,0,1,other
20400,20400,20400,36 months,24.49,805.61,E,E3,Managing Director,10+ years,MORTGAGE,580000,Verified,Current,334xx,FL,16.26,0,1,41,,14,0,65892,97,25,w,13093.45,13093.45,13091.01,13091.01,7306.55,5663.62,905.61,0,0,0,718395,5,5,7,2,233408,94,1,2,21481,95,67900,1,0,2,debt_consolidation
36000,36000,35925,36 months,13.49,1221.5,C,C2,Force Modernization Specialist,5 years,MORTGAGE,120000,Verified,Current,283xx,NC,28.04,5,1,13,,21,0,24649,62.7,46,f,24638.83,24587.5,15812.05,15779.11,11361.17,4450.88,1221.5,0,0,0,284753,1,1,3,12,33538,48,2,4,2159,54,40100,3,4,5,debt_consolidation
6000,6000,6000,36 months,10.91,196.18,B,B4,Athletic Trainer,< 1 year,RENT,32000,Not Verified,Current,574xx,SD,23.22,0,0,,,7,0,10705,97.3,14,w,4981.14,4981.14,1365.99,1365.99,1018.86,347.13,196.18,0,0,0,92441,0,0,0,44,81736,71,0,1,5836,78,11000,0,0,0,credit_card
15000,15000,15000,36 months,12.74,503.54,C,C1,Case Management Administrator,7 years,RENT,57500,Not Verified,Current,923xx,CA,6.14,0,2,60,73,9,2,8902,52.7,10,w,12141.13,12141.13,4007.09,4007.09,2858.87,1148.22,503.54,0,0,0,8902,2,0,0,94,0,,2,3,3540,53,16900,0,0,2,debt_consolidation
28000,28000,28000,60 months,9.49,587.92,B,B2,Sr. Development Engineer,9 years,RENT,94000,Source Verified,Current,956xx,CA,16.91,0,1,36,,14,0,5857,16.3,23,f,21775.25,21775.25,9377.2,9377.2,6224.75,3152.45,587.92,0,0,0,194765,0,1,2,11,40256,53,1,1,3009,41,36000,3,0,2,house
28000,28000,28000,60 months,18.99,726.19,D,D3,Network Engineer,3 years,MORTGAGE,90000,Not Verified,Current,626xx,IL,12.51,1,0,5,,7,0,40738,98.9,29,w,25284.81,25284.81,6506.17,6506.17,2715.19,3790.98,726.19,0,0,0,152197,1,0,0,46,0,,1,1,19716,99,41200,0,0,1,credit_card
35000,35000,35000,36 months,12.74,1174.91,C,C1,"Director, Compliance and Capability",9 years,MORTGAGE,105595.27,Verified,Current,606xx,IL,23.25,0,0,,,7,0,48550,100.1,21,f,25679.07,25679.07,12899.24,12899.24,9320.93,3578.31,1174.91,0,0,0,227666,0,0,0,44,8784,28,0,0,15070,72,48500,1,0,1,debt_consolidation
24375,24375,24375,36 months,15.99,856.84,C,C5,Executive Chef,10+ years,RENT,53000,Verified,Late (16-30 days),610xx,IL,25.25,1,1,8,,10,0,24461,80.7,28,w,18731.29,18731.29,8525.09,8525.09,5643.71,2881.38,856.84,0,0,0,32917,0,0,1,15,8456,30,0,2,8661,56,30300,0,0,1,debt_consolidation
21975,21975,21975,60 months,18.49,563.9,D,D5,Bookeeper,10+ years,RENT,62500,Verified,Charged Off,774xx,TX,36.56,2,1,17,,23,0,12743,34.3,41,w,0,0,4377.02,4377.02,922.25,1288.2,563.9,0,0,1875,43519,3,1,4,12,30776,70,5,6,1461,49,37100,0,5,2,debt_consolidation
8000,8000,8000,36 months,10.42,259.72,B,B3,Business Process Consultant,10+ years,MORTGAGE,115000,Source Verified,Current,339xx,FL,22.83,0,3,34,,76,0,28948,7.9,141,w,7424.27,7424.27,769.9,769.9,575.73,194.17,259.72,0,0,0,227535,5,2,4,1,46576,91,6,16,4672,18,366100,2,0,9,debt_consolidation
5000,5000,5000,36 months,14.08,171.09,C,C3,Floorperson,5 years,RENT,68000,Not Verified,Current,910xx,CA,6.66,0,3,,51,19,1,8342,26.4,31,w,4542.33,4542.33,680.45,680.45,457.67,222.78,171.09,0,0,0,8342,2,0,1,24,0,,2,17,5822,26,31600,1,0,3,vacation
17000,17000,17000,36 months,8.24,534.61,B,B1,Territory representative,3 years,RENT,115000,Not Verified,Fully Paid,701xx,LA,6.38,1,0,1,,10,0,15277,38.8,23,f,0,0,17933.26735,17933.27,17000,933.27,12529.44,0,1,0,77087,0,1,1,12,61722,66,0,1,15152,46,39400,2,2,2,credit_card
1000,1000,1000,36 months,12.99,33.69,C,C2,Dispatcher,< 1 year,RENT,32000,Source Verified,Current,377xx,TN,30.83,0,0,,,5,0,4217,87.9,7,w,460.63,460.63,703.08,703.08,539.37,163.71,33.69,0,0,0,117187,1,1,2,10,33425,78,1,1,3907,79,4800,0,2,1,other
14000,14000,14000,36 months,11.99,464.94,B,B5,Chef/ manager,7 years,OWN,43200,Source Verified,Current,366xx,AL,17.49,1,0,22,,8,0,15422,88.6,23,f,12027.97,12027.97,2601.39,2601.39,1972.03,629.36,464.94,0,0,0,24661,0,1,1,10,9239,39,0,0,4352,60,17400,1,0,0,debt_consolidation
8000,8000,8000,36 months,10.75,260.97,B,B4,engineering technician,2 years,RENT,35000,Not Verified,Fully Paid,891xx,NV,34.71,0,1,,,15,0,7902,18.2,44,w,0,0,8395.57,8395.57,8000,395.57,1995.34,0,0,0,39971,1,3,6,2,32069,81,2,4,148,48,43500,6,24,9,major_purchase
9000,9000,9000,36 months,9.16,286.87,B,B2,Buyer,10+ years,MORTGAGE,54000,Not Verified,Current,282xx,NC,8.29,0,0,,,5,0,14776,75.8,22,w,4305.33,4305.33,5744.27,5744.27,4694.67,1049.6,286.87,0,0,0,99534,0,0,0,58,0,,0,1,6738,76,19500,0,0,0,debt_consolidation
5000,5000,5000,36 months,6.99,154.37,A,A2,Delivery Technician,< 1 year,OWN,55000,Source Verified,Current,559xx,MN,10.26,0,0,,,9,0,7413,19.4,19,w,3447.96,3447.96,1850.5,1850.5,1552.04,298.46,154.37,0,0,0,23565,0,0,0,52,16152,73,0,1,6858,39,38300,0,0,0,small_business
8500,8500,8500,36 months,12.74,285.34,C,C1,Sr Network Engineer,9 years,MORTGAGE,115000,Not Verified,Fully Paid,405xx,KY,26.96,0,0,,,27,0,75781,84.3,46,w,0,0,8604.662778,8604.66,8500,104.66,8616.69,0,0,0,275760,0,0,2,20,12581,52,4,4,12589,78,89900,0,6,0,debt_consolidation
28000,28000,27950,36 months,11.49,923.2,B,B5,Finance Manager,3 years,RENT,120000,Verified,Current,115xx,NY,27.46,0,2,,,12,0,16761,35.1,21,f,18976.84,18942.96,12064.16,12042.62,9023.16,3041,923.2,0,0,0,45241,3,2,3,4,28480,69,1,1,7081,51,47700,0,3,3,credit_card
7000,7000,7000,36 months,10.91,228.88,B,B4,Manager,1 year,RENT,180000,Source Verified,Current,802xx,CO,17.03,0,0,,,7,0,38679,114.4,14,f,6499.76,6499.76,701.5,701.5,500.24,201.26,228.88,0,0,0,51571,1,0,1,21,12892,29,1,1,16105,66,33800,0,0,0,credit_card
14400,14400,14400,36 months,7.99,451.18,A,A4,Foreman,7 years,OWN,86000,Not Verified,Current,125xx,NY,24.8,1,0,19,,9,0,10993,75.3,19,w,8422.3,8422.3,7212.49,7212.49,5977.7,1234.79,451.18,0,0,0,27282,1,0,1,23,16289,44,2,5,3141,57,14600,0,0,0,credit_card
10000,10000,10000,60 months,24.49,290.54,E,E3,AWG specialist,1 year,RENT,32000,Source Verified,Charged Off,923xx,CA,19.17,3,0,17,,3,0,307,23.6,16,f,0,0,2891.79,2891.79,948.45,1943.34,290.54,0,0,3297,15820,1,0,0,39,15513,59,1,2,0,57,1300,0,6,0,debt_consolidation
7275,7275,7275,36 months,16.59,257.9,D,D2,CEO,10+ years,RENT,85000,Not Verified,Fully Paid,070xx,NJ,2.61,0,2,,,3,0,6131,88,4,w,0,0,8974.149651,8974.15,7275,1699.15,3307.06,0,0,0,6131,1,0,0,,0,0,1,1,2325,88,7000,0,0,2,other
11000,11000,11000,36 months,12.62,368.63,C,C1,Supervisor,6 years,RENT,32000,Not Verified,Current,801xx,CO,22.32,0,1,,,6,0,10438,42.6,6,w,10491.45,10491.45,721.84,721.84,508.55,213.29,368.63,0,0,95,23678,2,0,0,26,13240,60,2,3,3537,51,24500,0,1,1,debt_consolidation
7775,7775,7775,36 months,17.09,277.55,D,D1,ACCOUNT REP,10+ years,MORTGAGE,47000,Not Verified,Current,023xx,MA,12.87,0,0,37,63,12,1,6431,52,16,w,7093.57,7093.57,1095.44,1095.44,681.43,414.01,277.55,0,0,0,194600,2,0,1,13,4239,83,5,9,1127,52,12250,0,0,1,debt_consolidation
8000,8000,8000,36 months,11.49,263.78,B,B5,LIVE-IN CARE GIVER,2 years,ANY,67700,Not Verified,Current,295xx,SC,19,0,0,,75,9,3,6309,34.7,19,w,6045.45,6045.45,2627.59,2627.59,1954.55,673.04,263.78,0,0,0,35194,0,2,2,9,28885,84,2,2,3681,67,18200,1,4,3,debt_consolidation
34200,34200,34200,36 months,5.32,1029.93,A,A1,CIO,4 years,MORTGAGE,105000,Source Verified,Current,979xx,OR,16,0,3,,,16,0,29815,43.9,30,w,15873.92,15873.92,20507.62,20507.62,18326.08,2181.54,1029.93,0,0,0,191626,2,0,0,40,48086,69,2,2,23967,57,67900,0,0,3,credit_card
35000,35000,35000,36 months,10.91,1144.37,B,B4,Principal,10+ years,RENT,101000,Verified,Current,853xx,AZ,13.58,0,1,,,3,0,5027,100.5,12,w,30793.39,30793.39,5679.42,5679.42,4206.61,1472.81,1144.37,0,0,0,44299,1,1,3,5,39272,79,1,1,0,81,5000,1,2,1,other
9000,9000,9000,36 months,11.49,296.75,B,B5,Wg-10,2 years,RENT,50000,Not Verified,Current,958xx,CA,9.89,1,0,11,,6,0,8919,51.3,16,w,6801.16,6801.16,2956.01,2956.01,2198.84,757.17,296.75,0,0,0,56907,0,0,0,32,47988,110,0,1,0,93,17400,1,1,1,credit_card
9000,9000,9000,36 months,9.93,290.11,B,B2,Project Manager,10+ years,MORTGAGE,75000,Not Verified,Current,853xx,AZ,11.01,0,0,,,10,0,4037,13.9,23,w,7452.56,7452.56,2025.81,2025.81,1547.44,478.37,290.11,0,0,99,33856,2,1,2,2,29819,84,3,5,2745,53,29100,3,3,5,major_purchase
12275,12275,12275,36 months,14.99,425.46,C,C4,Underwriter Analyst,< 1 year,RENT,70720,Verified,Current,760xx,TX,24.96,0,0,73,,11,0,14288,50.1,32,f,10297.23,10297.23,3014.01,3014.01,1977.77,1036.24,425.46,1,0,1266,52695,1,1,3,8,38407,89,2,3,5410,74,28500,1,0,1,debt_consolidation
12000,12000,12000,36 months,10.75,391.45,B,B4,College Professor,2 years,MORTGAGE,110000,Not Verified,Current,532xx,WI,19.82,9,2,20,,24,0,39271,87.9,35,w,5128.87,5128.87,8604.73,8604.73,6871.13,1733.6,391.45,0,0,0,410727,3,3,3,2,164474,80,1,1,7061,82,44700,4,3,5,debt_consolidation
9600,9600,9600,36 months,23.99,376.59,E,E4,Pres/owner,10+ years,OWN,106000,Not Verified,Late (31-120 days),770xx,TX,9.66,2,3,3,,4,0,951,4.8,7,f,6172.07,6172.07,6339.24,6339.24,3427.93,2911.31,326.59,0,0,600,36426,1,0,2,14,35475,66,1,2,951,18,19800,1,0,6,small_business
12000,12000,12000,36 months,11.47,395.55,B,B5,Transportion,10+ years,OWN,68000,Verified,Current,265xx,WV,11.49,1,0,16,,12,0,13660,57.4,27,w,6512.27,6512.27,7104.61,7104.61,5487.73,1616.88,395.55,0,0,528,21639,0,1,1,12,7979,93,1,2,4928,67,23800,1,1,1,credit_card
18000,18000,18000,60 months,14.49,423.42,C,C4,End User Support Engineer,4 years,RENT,61000,Not Verified,Current,802xx,CO,18.93,0,1,,92,11,1,13169,47.7,12,w,14386.78,14386.78,6745.74,6745.74,3613.22,3132.52,423.42,0,0,0,40977,4,0,1,23,27808,,4,4,6688,48,27600,0,1,1,debt_consolidation
12000,12000,12000,36 months,5.32,361.38,A,A1,,,MORTGAGE,55000,Not Verified,Current,182xx,PA,21.62,0,0,49,,9,0,4300,32.1,15,w,9176.68,9176.68,3248.87,3248.87,2823.32,425.55,361.38,0,0,0,167956,0,0,1,22,20042,49,0,0,4261,45,13400,0,0,0,debt_consolidation
40000,40000,40000,60 months,15.99,972.51,C,C5,,,MORTGAGE,180000,Verified,Current,913xx,CA,10.51,0,2,,,14,0,45421,20.2,19,w,35358.25,35358.25,9884.09,9884.09,4641.75,5047.82,972.51,0,0,0,491638,5,1,3,6,18984,65,3,4,5284,32,145500,3,0,6,home_improvement
20000,20000,20000,36 months,10.75,652.41,B,B4,Medical Lab Tech,10+ years,OWN,49800,Verified,Current,550xx,MN,16.89,0,2,39,,16,0,11945,32.3,44,w,9119,9119,13748.38,13748.38,10881,2867.38,652.41,0,0,99,22260,3,1,1,10,10315,91,3,3,179,46,37000,0,0,2,debt_consolidation
25000,25000,25000,60 months,12.74,565.51,C,C1,Production Supervisor,2 years,OWN,124000,Source Verified,Current,080xx,NJ,17.29,3,0,19,,19,0,30988,78.3,29,w,22181.57,22181.57,5124.98,5124.98,2818.43,2306.55,565.51,0,0,0,208179,0,1,3,8,22281,76,0,2,6821,77,39900,3,0,6,credit_card
35000,35000,35000,60 months,30.94,1152.67,G,G4,Direct Support Professional,6 years,MORTGAGE,105000,Source Verified,Current,117xx,NY,5.67,0,1,49,,7,0,3572,35.7,36,w,33959.6,33959.6,4490.36,4490.36,1040.4,3449.96,1152.67,0,0,746,53978,2,1,5,4,50406,90,1,2,2543,82,10000,2,0,4,home_improvement
11500,11500,11500,36 months,10.42,373.35,B,B3,players club rep,10+ years,OWN,53000,Source Verified,Current,395xx,MS,27.17,0,1,61,110,9,1,5504,29.4,14,w,9823.01,9823.01,2271.91,2271.91,1676.99,594.92,373.35,0,0,0,24914,1,2,4,2,19410,71,1,1,700,54,18700,0,0,1,home_improvement
7550,7550,7550,36 months,11.49,248.94,B,B5,Account Manager,3 years,RENT,43000,Not Verified,Current,731xx,OK,14.54,1,0,22,60,6,1,5350,46.5,15,w,4511.29,4511.29,3973.4,3973.4,3038.71,934.69,248.94,0,0,0,16285,0,1,1,12,10935,54,0,0,3073,51,11500,0,0,0,credit_card
16000,16000,16000,60 months,14.49,376.37,C,C4,Manager,5 years,MORTGAGE,55000,Not Verified,Current,286xx,NC,22.1,0,0,,,13,0,15709,47.9,37,w,13224.3,13224.3,5256.3,5256.3,2775.7,2480.6,376.37,0,0,0,176438,0,1,3,7,30420,76,1,1,4332,63,32800,2,0,1,debt_consolidation
32050,32050,32050,60 months,19.53,840.77,D,D5,AREA DIRECTOR OF SALES,6 years,RENT,103000,Source Verified,Charged Off,201xx,VA,13.47,0,0,,72,23,1,14966,19.7,55,w,0,0,8338.15,8338.15,3435.74,4902.41,840.77,0,0,296,47346,1,1,2,11,32380,85,3,7,6817,42,76000,0,2,0,debt_consolidation
21000,21000,21000,36 months,7.59,654.1,A,A3,Assist Dean,10+ years,MORTGAGE,168000,Not Verified,Current,303xx,GA,32.04,0,0,,,17,0,45070,42.9,28,w,11675.42,11675.42,11058.27,11058.27,9324.58,1733.69,654.1,0,0,0,524878,0,1,4,9,69036,56,0,0,15873,45,105000,2,0,4,credit_card
2500,2500,2500,36 months,12.79,83.99,C,C1,In home therapist,2 years,RENT,40500,Source Verified,Charged Off,379xx,TN,26.52,0,0,,89,11,1,4777,46.4,53,f,0,0,604.97,604.97,233.07,101.11,83.99,0,0,165,145530,0,1,1,8,140753,66,0,0,300,61,10300,2,2,1,debt_consolidation
8000,8000,8000,36 months,14.08,273.74,C,C3,Internet Sales Manager,5 years,RENT,70000,Source Verified,Current,956xx,CA,16.58,0,1,56,,5,0,7311,41.5,7,f,6888.6,6888.6,1670.6,1670.6,1111.4,559.2,273.74,0,0,0,35943,0,0,0,29,28632,,0,2,4905,42,17600,0,1,1,debt_consolidation
15000,15000,15000,36 months,7.97,469.84,A,A5,Maintenance Technician,4 years,RENT,38100,Not Verified,Current,028xx,RI,37.98,0,0,,,10,0,3229,13.4,17,w,13881.96,13881.96,1396.24,1396.24,1118.04,278.2,469.84,0,0,0,34967,0,0,2,19,31738,60,0,0,1959,46,24100,2,0,0,debt_consolidation
18000,18000,18000,60 months,18.99,466.84,D,D3,Special education teacher,10+ years,MORTGAGE,86000,Not Verified,Current,951xx,CA,9.39,2,1,5,,9,0,7074,54.8,27,w,16044.88,16044.88,4658.41,4658.41,1955.12,2703.29,466.84,0,0,50,385938,0,0,1,16,46848,107,0,2,3554,77,12900,0,0,1,other
21000,21000,21000,36 months,9.49,672.6,B,B2,Service Technician,< 1 year,MORTGAGE,65000,Source Verified,Current,199xx,DE,12.5,0,0,,119,5,1,1059,21.2,7,w,13533.95,13533.95,9405.33,9405.33,7466.05,1939.28,672.6,0,0,383,157027,0,0,1,13,24867,63,0,0,1059,59,5000,0,1,1,debt_consolidation
22400,22400,22400,36 months,13.67,762,C,C3,Administrator,1 year,MORTGAGE,106800,Not Verified,Current,563xx,MN,31.75,0,1,40,,20,0,8794,44,31,w,9809.11,9809.11,16746.99,16746.99,12590.89,4156.1,762,0,0,0,108377,1,3,5,2,99583,75,0,1,6248,71,20000,1,4,5,major_purchase
10000,10000,10000,36 months,11.47,329.62,B,B5,Account Manager,9 years,RENT,63000,Source Verified,Fully Paid,112xx,NY,5.9,0,0,,,5,0,10776,75.1,11,w,0,0,10003.99,10003.99,10000,3.99,10016.73,0,0,0,10776,0,0,0,130,0,,0,1,4464,75,16000,0,0,0,debt_consolidation
5000,5000,5000,36 months,16.02,175.84,C,C5,Server,3 years,RENT,45000,Source Verified,Current,932xx,CA,23.65,0,0,,46,13,2,3697,30.8,14,w,4439.79,4439.79,870.3,870.3,560.21,310.09,175.84,0,0,2067,40542,2,1,2,3,36845,92,3,8,1705,78,12000,4,0,4,debt_consolidation
6000,6000,6000,36 months,8.39,189.1,B,B1,server,7 years,RENT,25000,Not Verified,Current,805xx,CO,17.09,0,0,,,10,0,6594,27.5,12,w,2683.92,2683.92,3968.3,3968.3,3316.08,652.22,189.1,0,0,0,13029,1,0,0,29,6435,61,3,4,1485,38,24000,0,2,0,debt_consolidation
1600,1600,1600,36 months,11.99,53.14,B,B5,"Director, Decision Support Center",10+ years,MORTGAGE,75157,Not Verified,Current,028xx,RI,25.12,0,0,44,,12,0,18965,74.4,22,f,1371.5,1371.5,317.77,317.77,228.5,89.27,53.14,0,0,0,301620,1,2,3,6,80444,82,1,2,5248,79,25500,0,4,3,other
14000,14000,14000,36 months,15.05,485.66,C,C4,truck driver,6 years,OWN,45000,Verified,Current,657xx,MO,32.51,0,0,,97,11,1,16019,56.2,13,w,12410.24,12410.24,2416.59,2416.59,1589.76,826.83,485.66,0,0,0,35443,3,0,2,15,19424,60,3,5,3801,58,28500,0,2,0,debt_consolidation
7000,7000,7000,36 months,12.88,235.46,C,C2,Account Supervisor,1 year,RENT,95000,Source Verified,Current,111xx,NY,5.51,1,0,12,54,12,1,1664,92.4,17,f,2845.01,2845.01,5395.48,5395.48,4154.99,1225.49,235.46,0,0,0,38320,0,0,0,58,36656,104,0,0,940,103,1800,0,0,1,debt_consolidation
2000,2000,2000,36 months,8.24,62.9,B,B1,MANAGER,5 years,RENT,46000,Not Verified,Current,967xx,HI,25.71,0,0,,53,10,1,7551,60.9,33,w,1545.15,1545.15,565.18,565.18,454.85,110.33,62.9,0,0,0,36374,1,1,1,6,28823,82,2,3,2860,76,12400,3,1,4,vacation
6400,6400,6400,36 months,10.49,207.99,B,B2,Family Nurse Practitioner,2 years,OWN,178000,Source Verified,Fully Paid,303xx,GA,10.85,4,2,11,,14,0,3987,20.6,20,w,0,0,6812.15643,6812.16,6400,412.16,5359.96,0,0,0,404996,2,2,4,4,111353,88,1,1,1575,76,19600,0,0,3,vacation
5000,5000,5000,36 months,15.05,173.45,C,C4,maintenance mechanic,4 years,RENT,50000,Verified,Current,937xx,CA,14.79,0,0,32,,6,0,7645,88.9,9,w,4663.59,4663.59,511.99,511.99,336.41,175.58,173.45,0,0,0,7955,0,0,0,58,310,4,0,1,392,48,8600,0,2,1,other
10000,10000,10000,36 months,10.91,326.97,B,B4,Truck Driver,3 years,MORTGAGE,75000,Source Verified,Current,080xx,NJ,18.19,1,0,9,,7,0,2300,26.7,21,f,8301.87,8301.87,2282.73,2282.73,1698.13,584.6,326.97,0,0,0,151456,0,1,3,10,39949,66,0,2,2038,48,8600,4,2,16,debt_consolidation
12000,12000,12000,60 months,17.27,299.98,D,D2,"Vice President, Member Engagement",9 years,RENT,145000,Not Verified,Current,905xx,CA,9.41,1,1,10,35,9,1,23687,64.9,17,w,9074.39,9074.39,5993.72,5993.72,2925.61,3068.11,299.98,0,0,0,35626,2,1,1,3,11011,92,1,1,2753,68,36500,0,5,3,debt_consolidation
35000,35000,35000,36 months,14.49,1204.57,C,C4,Registered nurse,5 years,RENT,100000,Verified,Current,112xx,NY,23.3,2,0,12,,13,0,42393,69.4,22,w,5339.29,5339.29,34925.91,34925.91,29660.71,5265.2,1204.57,0,0,0,84313,0,0,0,32,41920,,0,1,12162,69,61100,1,0,1,debt_consolidation
20000,20000,20000,60 months,26.24,601.66,E,E5,Director of Operations,8 years,RENT,68000,Verified,Late (31-120 days),275xx,NC,27.78,2,1,19,,12,0,20177,81.7,24,w,18580.25,18580.25,4784.12,4784.12,1419.75,3364.37,601.66,0,0,0,49830,0,1,4,12,29653,71,0,2,8504,75,24700,4,0,1,credit_card
21000,21000,21000,60 months,9.75,443.61,B,B3,IT Specialist - Network,5 years,MORTGAGE,94000,Not Verified,Current,233xx,VA,12.15,1,1,9,,10,0,5830,15.4,25,w,15675.92,15675.92,8069.1,8069.1,5324.08,2745.02,443.61,0,0,0,339928,0,1,2,12,25933,58,0,1,915,39,37800,0,9,1,debt_consolidation
17000,17000,17000,36 months,12.99,572.72,C,C2,School Counselor,1 year,RENT,36000,Source Verified,Current,972xx,OR,14.37,2,1,22,,5,0,15348,53.9,35,w,8374.14,8374.14,11489.79,11489.79,8625.86,2863.93,572.72,0,0,220,145081,1,1,1,9,129733,,2,2,15024,54,28500,0,0,3,credit_card
